Region,Team,Official Summoner Name,ids,Roles (LeaguePedia),Roles (RCD)
BR,KaBuM! Esports,Samkz,"{'None': ['BR: SamkzNA: AK Samkz', 'Samkzlol', 'AK Samkz1', 'My Ðream CBLOL', 'My Dream CBLOL', 'Baby HalierLAN: llaSamkz']}",Jungle,NaN
BR,KaBuM! Esports,Dioge,{},Mid,NaN
BR,KaBuM! Esports,Krastyel,"{'None': ['Krastyel1', 'GFX Krastyel', 'EXP Krastyel', 'OVL Krastyel', 'TSW Krastyel', 'NAO DO ROAMING']}",Mid,NaN
BR,KaBuM! Esports,DOPPLER,{},Bot,NaN
BR,KaBuM! Esports,Scuro,{},Bot,NaN
BR,KaBuM! Esports,RAV3N,{},Bot,NaN
BR,KaBuM! Esports,Guigs,{},Sup,NaN
BR,KaBuM! Esports,RedBert,"{'None': ['BR: RedBert', 'NimoTV RedBertCN: BR05']}",Sup,NaN
BR,Liberty Esports,SkB,{},Top,NaN
BR,Liberty Esports,Lukshy,{},Top,NaN
BR,Liberty Esports,Kiari,{},Top,NaN
BR,Liberty Esports,accez,{},Jungle,NaN
BR,Liberty Esports,Drakehero,{},Jungle,NaN
BR,Liberty Esports,Avenger,{'None': ['BR: presetdocalabrasEUW: presetdocalabras']},Mid,NaN
BR,Liberty Esports,Piloto,{'None': ['frozen q congela']},Mid,NaN
BR,Liberty Esports,Juliera,{},Bot,NaN
BR,Liberty Esports,Reaper,{},Bot,NaN
BR,Liberty Esports,Cavalo,{},Sup,NaN
BR,Liberty Esports,Momochi,{},Sup,NaN
BR,Liberty Esports,Wos,"{'None': ['CNB HyperX Wos', 'CNB Woswos', 'WosWos']}",Sup,NaN
BR,Los Grandes,Boal,{},Top,NaN
BR,Los Grandes,Hidan,{'BR) trill hidan ': ['Hidanvs']},Top,NaN
BR,Los Grandes,Enel1,"{'None': ['enel1', 'HLA Enel']}",Jungle,NaN
BR,Los Grandes,JotaEmeZ,{},Top,NaN
BR,Los Grandes,CrjaY,{},Jungle,NaN
BR,Los Grandes,Neyzz,{},Mid,NaN
BR,Los Grandes,Allezs,{},Mid,NaN
BR,Los Grandes,Lava,{'None': ['KR: BRO Lava lavazz 골목대장 태훈이']},Mid,NaN
BR,Los Grandes,Netuno,{},Bot,NaN
BR,Los Grandes,Celo,{},Bot,NaN
BR,Los Grandes,Ranger,"{'None': ['R de Langer', 'AFF É O RANGER', 'Ranger RXRXRXRX', 'BG Lenovo Rngr']}",Sup,NaN
BR,Los Grandes,Mido,{},Sup,NaN
BR,LOUD,Makes,{},Top,NaN
BR,LOUD,Robo,{'None': ['BR: ROBOCA DE SACOLAEUW: É O ROBSROBOOOOO']},Top,NaN
BR,LOUD,Hugato,{},Jungle,NaN
BR,LOUD,Croc,{'EUW': 'no item JG'},Jungle,NaN
BR,LOUD,Anyyy,{'None': ['a famosa annie1']},Mid,NaN
BR,LOUD,Ryanzin,{},Mid,NaN
BR,LOUD,tinowns,{'None': ['BR: LOUD tinowns2EUW: MSI KDA PLAYER']},Mid,NaN
BR,LOUD,ROUTE,{'None': ['KR: Liiv Route']},Bot,NaN
BR,LOUD,Sant,{},Bot,NaN
BR,LOUD,Ceos,"{'None': ['Céos', 'Ceoszinho', 'c4tatal']}",Sup,NaN
BR,LOUD,Vahvel,{},Sup,NaN
BR,paiN Gaming,Wizer,{'None': ['KR: BRION Wizer']},Top,NaN
BR,paiN Gaming,Yupps,{},Top,NaN
BR,paiN Gaming,junyxb,{},Jungle,NaN
BR,paiN Gaming,anato,{},Jungle,NaN
BR,paiN Gaming,CarioK,{'None': ['BR: paiN JG1EUW: ZKQMDSHY']},Jungle,NaN
BR,paiN Gaming,dyNquedo,"{'KR': ['MC DYNQUEDO', 'zeca urubu']}",Mid,NaN
BR,paiN Gaming,Qats,{},Mid,NaN
BR,paiN Gaming,kksh,{},Bot,NaN
BR,paiN Gaming,Bvoy,"{'KR': 'MSF BVOY, its time 2 carry', 'NA': 'Bvoy7, EST Bvoy, Bvoyz, Bvoy3, Pick Bvoy, BVOYXD', 'LAN': 'llaBvoy'}",Bot,NaN
BR,paiN Gaming,ProDelta,{'None': ['Pro Delta']},Sup,NaN
BR,paiN Gaming,Griba,{},Sup,NaN
BR,paiN Gaming,Miss,{},Sup,NaN
BR,paiN Gaming,Djoko,"{'None': ['Djoko', 'DJOKOZOR', 'BIood Reina']}",Jungle,NaN
BR,RED Canids Kalunga,Beta32,{},Top,NaN
BR,RED Canids Kalunga,fNb,"{'None': ['burn to emerge', 'PRG fNb', 'lwasbornforthis', 'fNb s2 Trigod']}",Top,NaN
BR,RED Canids Kalunga,Aegis,{'None': ['BR: AegisEUW: JoJo fangirlQAQ']},Jungle,NaN
BR,RED Canids Kalunga,Soweto,{},Jungle,NaN
BR,RED Canids Kalunga,doom,{},Jungle,NaN
BR,RED Canids Kalunga,Peco,{},Mid,NaN
BR,RED Canids Kalunga,Envy,{'None': ['BR: EnvyyyCN: BR03']},Mid,NaN
BR,RED Canids Kalunga,Aithusa,{},Mid,NaN
BR,RED Canids Kalunga,TitaN,{'None': ['BR: TitaNEUW: Lasthitmagic']},Bot,NaN
BR,RED Canids Kalunga,Morttheus,{},Bot,NaN
BR,RED Canids Kalunga,frosty,{'None': ['frosty2']},Sup,NaN
BR,RED Canids Kalunga,scamber,"{'None': ['scamber', 'scamber2']}",Sup,NaN
BR,Vivo Keyd Stars,Guigo,{'None': ['EUW: ssibal mosquitos']},Top,NaN
BR,Vivo Keyd Stars,Tyrin,"{'None': ['tyrxn', 'limitless boy', 'Tyrin']}",Top,NaN
BR,Vivo Keyd Stars,Sting,{'None': ['JUGKING']},Jungle,NaN
BR,Vivo Keyd Stars,Grell,"{'None': ['NA: Gréll', 'Amaid0ll', 'Pinwinasio']}",Jungle,NaN
BR,Vivo Keyd Stars,Grevthar,{'None': ['BR: GrevzinEUW: B99 PERALTHAR']},Mid,NaN
BR,Vivo Keyd Stars,Leleko,{},Mid,NaN
BR,Vivo Keyd Stars,Trigo,"{'None': ['tr1go', 'Sidney Royel', 'Trigo 11']}",Bot,NaN
BR,Vivo Keyd Stars,Stepz,{},Bot,NaN
BR,Vivo Keyd Stars,Tombrutu,{},Bot,NaN
BR,Vivo Keyd Stars,Yuki,{},Sup,NaN
BR,Vivo Keyd Stars,Damage,"{'None': ['IDMG', 'Damagee']}",Sup,NaN
CN,XianTeamWE,Demon,{},Top,Top
CN,XianTeamWE,Hope,{'None': ['KR: ytmrytmr2']},Bot,Bot
CN,XianTeamWE,Iwandy,{'None': ['KR: danjuan roseEUW: GNLGNL']},Sup,Sup
CN,XianTeamWE,Shanks,{'None': ['KR: qian lai mai gua']},Mid,Mid
CN,XianTeamWE,Heng,{},Jungle,Jungle
CN,XianTeamWE,Biubiu,{'None': ['KR: sanbintouhao']},Top,Top
CN,WeiboGamingFAWAUDI,Crisp,{'None': ['KR: woshissmyueqianlongmain to a sleepEUW: sdasdasdwoshidoinb']},Sup,Sup
CN,WeiboGamingFAWAUDI,Light,{'None': ['EUW: laozitianye']},Bot,Bot
CN,WeiboGamingFAWAUDI,Xiaohu,{'None': ['KR: kannibiaoyanasdfdkkkszEUW: RNG1etmeXXWCGMLBJHHHlucky iceland']},Mid,Mid
CN,WeiboGamingFAWAUDI,Karsa,{'None': ['CN: 夜奏花KR: haoyunpizzahaoyunsenmingLycor1s']},Jungle,Jungle
CN,WeiboGamingFAWAUDI,KennyChan,{},Jungle,Jungle
CN,WeiboGamingFAWAUDI,TheShy,{'None': ['CN: qeawasdasdKR: The shy협곡에갇힌자벌꿀오소리의주먹henrenzhenderenEUW: baxsxasd']},Top,Top
CN,UltraPrime,Hery,{},Top,Top
CN,UltraPrime,Baolan,{'None': ['KR: manman0EUW: tutututututuut']},Sup,Sup
CN,UltraPrime,Ning,{'CN': 'xxxqqqqzzz'},Jungle,Jungle
CN,UltraPrime,zs,{'None': ['KR: 파이팅 인생']},Top,Top
CN,UltraPrime,Qing,{},Mid,Mid
CN,UltraPrime,Doggo,{'None': ['KR: zxcsazxcazdznoobad03EUW: Iceland 18YBYG Liang']},Bot,Bot
CN,THUNDERTALKGAMING,XinLiu,{'None': ['KR: zheduibai']},Sup,Sup
CN,THUNDERTALKGAMING,huanfeng,"{'None': ['CN:  一个牛逼的ad', '开心超人123KR: haohaobudaoz']}",Bot,Bot
CN,THUNDERTALKGAMING,xiaohuangren,{'None': ['KR: nodfan']},Jungle,Jungle
CN,THUNDERTALKGAMING,yaoyao,{},Sup,Sup
CN,THUNDERTALKGAMING,Beichuan,{},Jungle,Jungle
CN,THUNDERTALKGAMING,ucal,"{'None': ['KR: Ucal', 'KT UcaL', 'K T']}",Mid,Mid
CN,THUNDERTALKGAMING,HOYA,"{'None': ['KR: 용호야', 'BRO Hoya']}",Top,Top
CN,TOPESPORTS,Wayward,{'KR': 'cainiao2hao'},Top,Top
CN,TOPESPORTS,Tian,{'None': ['CN: Tian9999xinnian09KR: ziyouEUW: G2SejuaniJankosEU funny gameS11Tian']},Jungle,Jungle
CN,TOPESPORTS,JackeyLove,"{'CN': 'JackeyLove', 'KR': 'ADCGOD 12', 'EUW': 'caibizaodianshui'}",Bot,Bot
CN,TOPESPORTS,Qingtian,{'None': ['KR: yi lu xiang bel']},Top,Top
CN,TOPESPORTS,Mark,{'None': ['CN: lifeenjoyKR: DuDu11TES 77']},Sup,Sup
CN,TOPESPORTS,Rookie,{'CN': '把我当成一颗树叭'},Mid,Mid
CN,RoyalNeverGiveUp,Ming,{'None': ['CN: karsacoolKR: freeze5조용하고착한도구yjzbabaEUW: niudefuwuqi2021Worlds0173']},Sup,Sup
CN,RoyalNeverGiveUp,Angel,{'None': ['CN:  Ange1z浮生若欧鞋竖兴怀品114759KR: zhong men dui ju']},Mid,Mid
CN,RoyalNeverGiveUp,Wei,{'None': ['KR: mnbvcxzsdalongmeilEUW: qwezxcvbnm2021Worlds']},Jungle,Jungle
CN,RoyalNeverGiveUp,GALA,{'None': ['KR: kxnmb321987654waigaEUW: wininIceland2021Worlds0171']},Bot,Bot
CN,RoyalNeverGiveUp,Breathe,{'None': ['KR: Contact912cold skincainiao3hao']},Top,Top
CN,RoyalNeverGiveUp,Tangyuan,{'KR': ['ruanxiu']},Mid,Mid
CN,RareAtom,Assum,{},Bot,Bot
CN,RareAtom,Strive,{},Mid,Mid
CN,RareAtom,Southwind,{'None': ['KR: shuai de hen']},Sup,Sup
CN,RareAtom,Cube,{'None': ['KR: guzhu']},Top,Top
CN,RareAtom,Leyan,{'None': ['KR: Fu4kTheworldEUW: huijialeEUbyebye']},Jungle,Jungle
CN,RareAtom,bkr,{},Sup,Sup
CN,OhMyGod,Able,{'None': ['KR: happy gameblitzkrieg Bop']},Bot,Bot
CN,OhMyGod,Munian,{},Top,Top
CN,OhMyGod,Creme,{},Mid,Mid
CN,OhMyGod,ppgod,{'None': ['KR: xiaoqiupup']},Sup,Sup
CN,OhMyGod,Aki,"{'None': ['KR: no dream', 'support me or gg']}",Jungle,Jungle
CN,OhMyGod,shanji,{'None': ['KR: elbAGMO']},Top,Top
CN,OhMyGod,Jerry,{},Sup,Sup
CN,SHENZHENNIP,Dream,{},Mid,Mid
CN,SHENZHENNIP,Photic,{'None': ['KR: photic12345']},Bot,Bot
CN,SHENZHENNIP,XLB,{'None': ['KR: Strange2']},Jungle,Jungle
CN,SHENZHENNIP,Zhuo,{'None': ['KR: SUPG0D 12']},Sup,Sup
CN,SHENZHENNIP,Invincible,{},Top,Top
CN,SHENZHENNIP,Pout,{'None': ['KR: Shadow PoutPout']},Mid,Mid
CN,SHENZHENNIP,Rich,{'None': ['KR: 농심 리치']},Top,Top
CN,SuzhouLNGEsports,Yuekai,{'None': ['EUW: Mohe dance hall']},Mid,Mid
CN,SuzhouLNGEsports,Hang,{'None': ['KR: crycrystal']},Sup,Sup
CN,SuzhouLNGEsports,Tarzan,{'None': ['KR: 타 잔axczsdasd츠코파이ndbgEUW: GRFGRFGRFGRFGRFLngLng']},Jungle,Jungle
CN,SuzhouLNGEsports,LP,{},Bot,Bot
CN,SuzhouLNGEsports,Zika,{},Top,Top
CN,SuzhouLNGEsports,Scout,{'None': ['KR: 미북이wrsltEUW: Kimchi3']},Mid,Mid
CN,HangzhouLGDGAMING,Lpc,{},Bot,Bot
CN,HangzhouLGDGAMING,Xiaoxu,{},Top,Top
CN,HangzhouLGDGAMING,Meteor,{'None': ['KR: baihuerlian']},Jungle,Jungle
CN,HangzhouLGDGAMING,Jinjiao,"{'None': ['KR: wohennangu0', 'jiozz']}",Sup,Sup
CN,HangzhouLGDGAMING,xqw,{},Mid,Mid
CN,HangzhouLGDGAMING,haichao,{},Mid,Mid
CN,BeijingJDGIntelEsportsClub,Kanavi,{'None': ['CN:  YagiaoKR: douyu TV 7459436kaaanavi']},Jungle,Jungle
CN,BeijingJDGIntelEsportsClub,369,{'None': ['CN: haohaohaoKR: haohaohao3cainiao1hao']},Top,Top
CN,BeijingJDGIntelEsportsClub,knight,{'None': ['CN: 2020karsaKR: waywode']},Mid,Mid
CN,BeijingJDGIntelEsportsClub,MISSING,{'None': ['KR: changguiiiiiiiiikgcjhADHSADN']},Sup,Sup
CN,BeijingJDGIntelEsportsClub,Ruler,{'None': ['KR:  Gen G RulerCN: glaemfekglaemfdjNA: corejjoppaEUW: ADADAD141414']},Bot,Bot
CN,BeijingJDGIntelEsportsClub,Lzq,{},Mid,Mid
CN,InvictusGaming,Ahn,{},Bot,Bot
CN,InvictusGaming,neny,{},Top,Top
CN,InvictusGaming,Wink,{'None': ['KR: qwertyuiopqweUareinEUW: zxczxcxzczx']},Sup,Sup
CN,InvictusGaming,YSKM,{},Top,Top
CN,InvictusGaming,Dove,{'None': ['KR: KT Dove']},Mid,Mid
CN,InvictusGaming,gideon,{'None': ['KR:  황제펭귄 5호']},Jungle,Jungle
CN,FunPlusPhoenix,Lele,{'None': ['EUW: good The server']},Sup,Sup
CN,FunPlusPhoenix,fearness,{},Top,Top
CN,FunPlusPhoenix,Lwx,{'None': ['KR: wqnflqwnfoqwEUW: dang qiu qianmaoxiandao']},Bot,Bot
CN,FunPlusPhoenix,H4cker,{'None': ['CN: Case19KR: fan qie guo']},Jungle,Jungle
CN,FunPlusPhoenix,Xiaolaohu,{'None': ['EUW: Thel1ttletiger']},Top,Top
CN,FunPlusPhoenix,Care,{},Mid,Mid
CN,FunPlusPhoenix,haoye,{},Jungle,Jungle
CN,FunPlusPhoenix,QiuQiu,"{'None': ['CN: 片面了老铁KR: why me so diao,게임을 끄기전에']}",Sup,Sup
CN,FunPlusPhoenix,Xingye,{},Bot,Bot
CN,SHANGHAIEDWARDGAMINGHYCAN,Jiejie,{'None': ['KR: 나는변신할것이다Dan Xiao GuEUW: Dinner first']},Jungle,Jungle
CN,SHANGHAIEDWARDGAMINGHYCAN,Meiko,{'None': ['KR: yasxlkcjasdznHeinskaut refur']},Sup,Sup
CN,SHANGHAIEDWARDGAMINGHYCAN,Monki,{},Jungle,Jungle
CN,SHANGHAIEDWARDGAMINGHYCAN,Ale,{'None': ['KR: huntiandi1EUW: LNGLNGLNG']},Top,Top
CN,SHANGHAIEDWARDGAMINGHYCAN,Leave,{},Bot,Bot
CN,SHANGHAIEDWARDGAMINGHYCAN,FoFo,{'None': ['KR: fotuneEUW: MidOnlywin']},Mid,Mid
CN,SHANGHAIEDWARDGAMINGHYCAN,Fisher,{'None': ['KR: Fisherr']},Mid,Mid
CN,BilibiliGamingPinganBank,Xun,{'None': ['KR: wanfeng']},Jungle,Jungle
CN,BilibiliGamingPinganBank,Yagao,{'None': ['CN: 左名豪KR: YaGaoYagao12']},Mid,Mid
CN,BilibiliGamingPinganBank,ON,{'None': ['CN: SUP08WHKiZiEDKR: ON12Bearduck']},Sup,Sup
CN,BilibiliGamingPinganBank,Elk,{'None': ['KR: bzdbqc']},Bot,Bot
CN,BilibiliGamingPinganBank,Jwei,{},Sup,Sup
CN,BilibiliGamingPinganBank,Bin,{'None': ['CN:  TurningBackTime打野别帮我折谢谢KR: sn topchenzebindasdqwr']},Top,Top
CN,AnyonesLegend,Xiaohao,{},Jungle,Jungle
CN,AnyonesLegend,Zdz,{},Top,Top
CN,AnyonesLegend,SwordArt,{'None': ['NA: TSMFTX SwordArt7CN: SwordArT777KR: Swordart7776140824delEUW: FW Schwertkunst']},Sup,Sup
CN,AnyonesLegend,Harder,{},Mid,Mid
CN,AnyonesLegend,pinz,{},Mid,Mid
CN,AnyonesLegend,Betty,"{'None': ['KR: S1mpIe', 'TheDarkForest', 'Uravity', 'FVV BETTY', 'BeTnT1EUW: TWgaoxuecheng']}",Bot,Bot
CN,JIJIEHAO,Kepler,{},Bot,Bot
CN,JIJIEHAO,hulatang,{'None': ['KR: Shao ji']},Top,Top
CN,JIJIEHAO,Ycx,{},Sup,Sup
CN,JIJIEHAO,climber,{},Jungle,Jungle
CN,JIJIEHAO,xHun,{},Mid,Mid
CN,JIJIEHAO,xLiang,{},Bot,Bot
CN,JIJIEHAO,Nuo,{},Top,Top
CN,WE.ACADEMY,Xing,{},Bot,Bot
CN,WE.ACADEMY,Decade,{},Top,Top
CN,WE.ACADEMY,Stay,{'None': ['KR: znlydgyxyd']},Bot,Bot
CN,WE.ACADEMY,View,{'None': ['CN: PagodaKR: 디킨스이']},Jungle,Jungle
CN,WE.ACADEMY,Yanxiang,{},Jungle,Jungle
CN,WE.ACADEMY,Kedaya,{'None': ['EUW: LNG uneasy']},Sup,Sup
CN,WE.ACADEMY,wake,{},Sup,Sup
CN,WE.ACADEMY,BuLuKaKa,{},Mid,Mid
CN,WE.ACADEMY,mxx,{},Jungle,Jungle
CN,WeiBo Gaming-YouthTeam,forse,{},Mid,Mid
CN,WeiBo Gaming-YouthTeam,xiaomuma,{},Top,Top
CN,WeiBo Gaming-YouthTeam,705,"{'None': ['KR: No soul', '실망자']}",Top,Top
CN,WeiBo Gaming-YouthTeam,Xhow,{},Jungle,Jungle
CN,WeiBo Gaming-YouthTeam,Wuy,{},Sup,Sup
CN,WeiBo Gaming-YouthTeam,think,{},Sup,Sup
CN,WeiBo Gaming-YouthTeam,ZFF,{},Jungle,Jungle
CN,WeiBo Gaming-YouthTeam,TuT,{},Bot,Bot
CN,WeiBo Gaming-YouthTeam,wenyi,{},Sup,Sup
CN,WeiBo Gaming-YouthTeam,Xiaobudong,{},Mid,Mid
CN,Ultra Prime Academy,kelin,{},Bot,Bot
CN,Ultra Prime Academy,Vergil,{},Mid,Mid
CN,Ultra Prime Academy,Aliez,{},Top,Top
CN,Ultra Prime Academy,Rosielove,{},Sup,Sup
CN,Ultra Prime Academy,whisper,{},Jungle,Jungle
CN,Ultra Prime Academy,Mirror,{'None': ['twitchtvLoLRudy']},Jungle,Mid
CN,Thunder Talk Gaming.Young,xiao7,{},Top,Top
CN,Thunder Talk Gaming.Young,Maggie,{},Jungle,Jungle
CN,Thunder Talk Gaming.Young,Captain,{},Mid,Mid
CN,Thunder Talk Gaming.Young,frigid,{},Jungle,Jungle
CN,Thunder Talk Gaming.Young,bat,{},Bot,Bot
CN,Thunder Talk Gaming.Young,Mmy,{},Sup,Sup
CN,Thunder Talk Gaming.Young,juejuezi,{},Top,Top
CN,Thunder Talk Gaming.Young,Ljun,{},Sup,Sup
CN,TEAM PINNACLE,clean11,{},Bot,Bot
CN,TEAM PINNACLE,Wxm,{},Jungle,Jungle
CN,TEAM PINNACLE,ea7,{},Bot,Bot
CN,TEAM PINNACLE,wk,{},Top,Top
CN,TEAM PINNACLE,Loco,{},Sup,Sup
CN,TEAM PINNACLE,capp1r,{},Mid,Mid
CN,TEAM PINNACLE,1024,{},Top,Top
CN,TOPESPORTSChallenger,naiyou,{},Jungle,Jungle
CN,TOPESPORTSChallenger,JiaQi,{},Bot,Bot
CN,TOPESPORTSChallenger,Niket,{},Sup,Sup
CN,TOPESPORTSChallenger,Aspire,{},Top,Top
CN,TOPESPORTSChallenger,xiaofang,{},Jungle,Jungle
CN,TOPESPORTSChallenger,Wangxiao,{},Mid,Mid
CN,TOPESPORTSChallenger,10ng,{},Mid,Mid
CN,ShuDaiXiongGaming,Konodio,{},Sup,Sup
CN,ShuDaiXiongGaming,TheNut,{},Top,Top
CN,ShuDaiXiongGaming,Ever,{},Bot,Bot
CN,ShuDaiXiongGaming,Desire,{},Mid,Mid
CN,ShuDaiXiongGaming,Noregret,{},Jungle,Jungle
CN,ShuDaiXiongGaming,XHB,{},Top,Jungle
CN,ShuDaiXiongGaming,Kabishou,{},Sup,Sup
CN,ShuDaiXiongGaming,laoduan,{},Top,Top
CN,ShuDaiXiongGaming,cocoon,{},Jungle,Jungle
CN,Royal Club,Bunny,{},Sup,Sup
CN,Royal Club,Zinco,{},Bot,Bot
CN,Royal Club,Xzz,{},Mid,Mid
CN,Royal Club,PandaC,{},Top,Top
CN,Royal Club,Longqi,{},Top,Top
CN,Royal Club,lhyz,{},Jungle,Jungle
CN,Royal Club,milkyway,{},Jungle,Jungle
CN,Royal Club,ziyou,{},Sup,Sup
CN,Royal Club,zhiqiuyi,{},Bot,Bot
CN,Royal Club,naiti,{},Bot,Bot
CN,Rare Atom.Period,Eisley,{},Bot,Bot
CN,Rare Atom.Period,Zorah,{},Sup,Sup
CN,Rare Atom.Period,Fy,{},Jungle,Jungle
CN,Rare Atom.Period,Yu,{},Sup,Top
CN,Rare Atom.Period,ving,{},Bot,Bot
CN,Rare Atom.Period,DOING,{},Mid,Mid
CN,Rare Atom.Period,zzl,{},Mid,Mid
CN,Rare Atom.Period,Hoshiyoru,{},Jungle,Jungle
CN,Rare Atom.Period,camellia,{},Jungle,Jungle
CN,OH MY DREAM,Mori,{},Jungle,Jungle
CN,OH MY DREAM,Starry,{},Jungle,Bot
CN,OH MY DREAM,Yumeng,{},Mid,Mid
CN,OH MY DREAM,Tong,{'None': ['CN: VG丶Hetong']},Sup,Top
CN,OH MY DREAM,Delicate,{},Jungle,Top
CN,OH MY DREAM,xiaosiji,{},Sup,Sup
CN,OH MY DREAM,Elysia13,{},Sup,Sup
CN,OH MY DREAM,banye,{},Mid,Mid
CN,OH MY DREAM,Clock,{},Jungle,Jungle
CN,MAX,Rat,"{'None': ['KR: milaoshu', 'taizhenshile']}",Bot,Bot
CN,MAX,Medzz,{},Mid,Mid
CN,MAX,Crush3,{},Jungle,Jungle
CN,MAX,Vinay,{},Bot,Bot
CN,MAX,Garvey,{'None': ['KR: tuoxiezhanshen']},Top,Top
CN,MAX,Xiao17,{},Jungle,Jungle
CN,MAX,yellowlight,{},Sup,Sup
CN,MAX,7copy,{},Bot,Bot
CN,MAX,Kismet,{},Sup,Sup
CN,MAX,Danrengui,{},Sup,Sup
CN,LiNingGaming.Academy,xzy,{},Mid,Mid
CN,LiNingGaming.Academy,Uneasy,{},Bot,Bot
CN,LiNingGaming.Academy,Mysun,{},Sup,Sup
CN,LiNingGaming.Academy,5K,{},Top,Top
CN,LiNingGaming.Academy,Darwin,{},Jungle,Jungle
CN,LiNingGaming.Academy,Yummy,{},Mid,Mid
CN,LiNingGaming.Academy,dbh,{},Bot,Jungle
CN,LGDGaming Young Team,S1xu,{},Jungle,Jungle
CN,LGDGaming Young Team,Feng,{'None': ['KR: Dispel haze']},Sup,Sup
CN,LGDGaming Young Team,xjx,{},Top,Top
CN,LGDGaming Young Team,RanL,{},Bot,Bot
CN,LGDGaming Young Team,Realm,{},Mid,Mid
CN,LGDGaming Young Team,SW,{},Bot,Bot
CN,JoyDream,Keaiduo,{'None': ['NA: Bot0511']},Mid,Mid
CN,JoyDream,zzx,{},Jungle,Jungle
CN,JoyDream,Feather,{},Sup,Sup
CN,JoyDream,1xn,{},Bot,Bot
CN,JoyDream,Nimrod,{},Top,Top
CN,JoyDream,Dorian,{},Sup,Sup
CN,JoyDream,Cookie7,{},Jungle,Jungle
CN,InvictusGamingYoung,Ke,{},Sup,Sup
CN,InvictusGamingYoung,Tianzhen,{},Jungle,Jungle
CN,InvictusGamingYoung,xiaoyueji,{},Bot,Bot
CN,InvictusGamingYoung,Liweier,{},Jungle,Jungle
CN,InvictusGamingYoung,Wen,{},Top,Top
CN,InvictusGamingYoung,WuNai,{},Sup,Sup
CN,InvictusGamingYoung,MG,{'None': ['KR: Fox B MG']},Mid,Mid
CN,InvictusGamingYoung,Hoshisora,{},Bot,Bot
CN,InvictusGamingYoung,pisces,{},Top,Top
CN,FunPlusBlaze,Such,{},Bot,Bot
CN,FunPlusBlaze,TheNiu,{},Top,Top
CN,FunPlusBlaze,Ashes,{},Mid,Mid
CN,FunPlusBlaze,sorrow,{},Jungle,Jungle
CN,FunPlusBlaze,fled,{},Mid,Sup
CN,FunPlusBlaze,6zc,{},Jungle,Jungle
CN,EDwardGamingYOUTHTEAM,Xiamu,{},Sup,Sup
CN,EDwardGamingYOUTHTEAM,Cyku,{},Mid,Mid
CN,EDwardGamingYOUTHTEAM,xiaoyu,{},Jungle,Top
CN,EDwardGamingYOUTHTEAM,L1f,{},Mid,Mid
CN,EDwardGamingYOUTHTEAM,Coward,{},Jungle,Jungle
CN,EDwardGamingYOUTHTEAM,Coyote,{},Bot,Bot
CN,EDwardGamingYOUTHTEAM,Xiaoxiang,{'None': ['KR: lin shu haojasper MP5 KINGcainiao7hao']},Top,Top
CN,EDwardGamingYOUTHTEAM,Doux,{},Bot,Bot
CN,Bilibili Gaming junior,can,{},Jungle,Jungle
